scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
211,0.5703588128089905,0.9930748343467712,0.2383684664964676,0.298030931122449,5,2,3,True
212,0.48889797925949097,0.9992527961730957,0.3105238080024719,0.35142299107142855,7,3,4,True
213,0.5414083003997803,0.9784709811210632,0.2833007574081421,0.3878547512755102,3,2,1,True
214,0.6472722291946411,0.9998081922531128,0.23925286531448364,0.4763034119897959,5,3,3,True
215,0.5785433053970337,0.9983856081962585,0.25665268301963806,0.41483976403061223,3,2,1,True
216,0.6526308059692383,0.9994572401046753,0.2510460317134857,0.5271444515306123,3,0,3,False
217,0.5878280997276306,0.9996467232704163,0.2677772641181946,0.40573182397959184,8,4,4,True
218,0.5981028079986572,0.9932500720024109,0.2360280603170395,0.39809869260204084,4,0,4,False
219,0.501072883605957,0.9746514558792114,0.27255386114120483,0.28408003826530615,4,2,2,True
220,0.6118079423904419,0.9997973442077637,0.23546342551708221,0.4544204400510204,8,5,3,True
221,0.5127448439598083,0.9920209050178528,0.28209006786346436,0.3531967474489796,6,2,4,True
222,0.54665607213974,0.952400803565979,0.26959553360939026,0.3953483737244898,5,1,4,True
223,0.516214907169342,0.9908961057662964,0.27262425422668457,0.31704400510204084,7,3,4,True
224,0.6923136711120605,0.9996389150619507,0.21570219099521637,0.6075215242346939,4,1,3,True
225,0.5788820385932922,0.9983996152877808,0.22266173362731934,0.32834422831632654,7,5,2,True
226,0.6341739892959595,0.9997890591621399,0.2515980899333954,0.5326251594387755,3,2,1,True
227,0.5428852438926697,0.9994904398918152,0.303152471780777,0.41832748724489793,4,4,0,True
228,0.5061937570571899,0.9870379567146301,0.2865491807460785,0.33027742346938777,8,5,4,True
229,0.5384957194328308,0.9996848106384277,0.27262434363365173,0.35801977040816324,7,3,5,True
230,0.5254526734352112,0.9997901320457458,0.27838531136512756,0.339046556122449,7,6,1,True
231,0.6325197219848633,0.9997341632843018,0.23754386603832245,0.4776187818877551,6,4,3,True
232,0.5788017511367798,0.9945357441902161,0.25226786732673645,0.3370336415816326,8,4,4,True
233,0.5330996513366699,0.9963647723197937,0.26058414578437805,0.3128188775510204,10,5,5,True
234,0.5386770367622375,0.9997105002403259,0.2825343906879425,0.37992267219387754,6,3,3,True
235,0.644804060459137,0.9994578957557678,0.24873284995555878,0.5207669005102041,6,2,5,True
236,0.5422839522361755,0.9994947910308838,0.304597407579422,0.40937898596938777,6,2,4,True
237,0.621202826499939,0.9995057582855225,0.23714624345302582,0.42032047193877553,5,1,4,True
238,0.5216476321220398,0.9993942975997925,0.2565912902355194,0.2735969387755102,6,5,1,True
239,0.5645855069160461,0.999356210231781,0.27588409185409546,0.39040577168367346,10,4,6,True
240,0.6343836188316345,0.9989830851554871,0.2638295888900757,0.5087492028061225,3,3,1,True
241,0.5611083507537842,0.9994888305664062,0.2572054862976074,0.34793526785714285,6,3,4,True
242,0.5793860554695129,0.9995455741882324,0.28958961367607117,0.47757892219387754,4,2,2,True
243,0.5194262862205505,0.9994319677352905,0.26961439847946167,0.29978475765306123,7,1,6,True
244,0.5586202144622803,0.9990720152854919,0.26911553740501404,0.4071468431122449,3,2,1,True
245,0.5112708806991577,0.9912468194961548,0.29558295011520386,0.34004304846938777,7,4,4,True
246,0.5682852864265442,0.9657451510429382,0.24062775075435638,0.3413783482142857,8,3,5,True
247,0.5913103818893433,0.9949728846549988,0.23347081243991852,0.35568797831632654,8,4,4,True
248,0.6545137763023376,0.9991819858551025,0.23525398969650269,0.5127949617346939,3,1,2,True
249,0.5544801950454712,0.956553041934967,0.2306678593158722,0.32993861607142855,7,5,2,True
250,0.542269766330719,0.9869411587715149,0.24241042137145996,0.2930883290816326,9,4,5,True
251,0.5942894816398621,0.9997628331184387,0.2413809597492218,0.4213169642857143,8,4,5,True
252,0.5252636075019836,0.9982304573059082,0.26479628682136536,0.3086535395408163,4,4,0,True
253,0.5467300415039062,0.9778181910514832,0.2560824155807495,0.32750717474489793,6,4,2,True
254,0.5977712869644165,0.9917216300964355,0.24578846991062164,0.3618662308673469,7,3,5,True
255,0.6087208390235901,0.9979478716850281,0.24222195148468018,0.41370376275510207,8,2,6,True
256,0.5609219670295715,0.9997276663780212,0.2592054605484009,0.3801219706632653,6,4,2,True
257,0.604581356048584,0.9995893239974976,0.284654438495636,0.4987244897959184,5,5,1,True
258,0.5713362693786621,0.9995465278625488,0.2964833676815033,0.45918367346938777,4,2,2,True
259,0.4580940306186676,0.9740277528762817,0.24926652014255524,0.21438536352040816,10,7,3,True
260,0.6251744031906128,0.9996821880340576,0.2666270434856415,0.5106226084183674,7,4,4,True
